! '':4
! -rrb-:60
! .:6
! </s>:1518
!! -rrb-:3
!! -rsb-:1
!! .:4
!! </s>:132
!!! '':1
!!! -rrb-:2
!!! .:5
!!! </s>:82
!!!! 2:1
!!!! a:1
!!!! being:1
!!!! did:1
!!!! easy:2
!!!! finally:1
!!!! i:2
!!!! idk:1
!!!! instead:1
!!!! its:1
!!!! more:1
!!!! ok:1
!!!! purchased:1
!!!! so:1
!!!! the:1
!!!! this:5
!!!! very:1
!!!! way:1
!!!! what:1
!!!!! amazing:1
!!!!! and:1
!!!!! believe:1
!!!!! everything:1
!!!!! i:3
!!!!! no:1
!!!!! these:2
!!!!! this:1
!!!!!! as:1
!!!!!! i:2
!!!!!! love:1
!!!!!!! everything:1
!!!!!!! first:1
!!!!!!! i:1
!!!!!!!!!!! would:1
!!!!!!!!!!!!!!!!!! moreeven:1
!!!!!?????? i:1
!!!???? the:1
!? '':1
!? -rrb-:1
!? </s>:1
# !!!!:1
# $:1
# ':1
# .:1
# /:1
# 1:7
# 10:1
# 12:2
# 2:3
# 3:4
# wow:1
### gt:1
mouth when:1
mouth.bearing in:1
mouths on:1
movable as:1
move ,:4
move -rrb-:1
move ...:1
move a:3
move about:1
move all:1
move and:2
move around:21
move around/rotate:1
move as:1
move at:2
move between:1
move farther:1
move forward:1
move from:9
move in:1
move it:16
move like:1
move my:5
move on.check:1
move one:1
move or:1
move over:1
move pedals:1
move sideways:1
move so:1
move the:11
move their:1
move them:1
move this:1
move to:4
move toward:1
move towards:1
move up:2
move while:1
move yet:1
move you:1
move your:1
move-able arm:1
move.it would:1
moveable and:1
moved -lrb-:1
moved -rrb-:1
moved .:6
moved a:1
moved about:2
moved around:5
moved but:1
moved frequently:1
moved from:1
moved just:1
moved me:1
moved on:1
moved the:4
moved them:1
moved to:2
moved up:2
moved/quit working:1
movement ,:2
movement -lrb-:1
movement .:3
movement around:1
movement free:1
movement is:1
movement noises:1
movement of:4
movement on:1
movement or:1
movement to:1
movement whether:1
movement while:1
movement.in short:1
moves ,:2
moves .:1
moves a:1
moves easily:2
moves forward:1
moves from:1
moves or:1
moves to:1
moves up:1
movie ,:1
movie ``:1
movie cozying:1
movie franchise:1
movie once:1
movies ,:1
movies in:1
movies on:1
moving .:1
moving a:1
moving about:2
moving around:5
moving at:1
moving back:1
moving between:1
moving black:1
moving coil:1
moving equipment:1
moving from:2
moving in:1
moving individual:1
moving it:2
moving on:2
moving on.why:1
moving one:1
moving or:1
moving over:1
moving parts:6
moving power:1
moving side:1
moving some:1
moving stability:1
moving stuff:1
moving target:1
moving that:1
moving the:6
moving this:1
moving to:3
moving up:1
moving van:1
mp1504-blk professional:1
mp3 +:1
mp3 ,:3
mp3 connection:1
mp3 for:1
mp3 format:2
mp3 inputs:1
mp3 of:1
mp3 or:1
mp3 player:9
mp3 players:2
mp3 recordings:1
mp3 setting.you:1
mp3s -lrb-:1
mp3s over:1
mpgt1 is:1
mr scary:1
mr. guitar:1
mr. sound:1
mr. taylor:1
mr8mkii ,:1
ms -lrb-:1
ms and:1
ms overall:1
ms using:1
ms-50g .:1
ms. at:1
ms. sweeny:1
ms16 's:1
ms16 which:1
ms2000 .:1
ms26 .:1
ms50g ,:1
ms50g -rrb-:1
ms50g ...:2
ms7701 tripod:1
msa7040tb adjustable:3
msa9508 posi-lok:2
msd-e -:1
msi netbook:1
msp4150 -rrb-:2
msp4150 sp:1
msp4200 sp:1
msrp .:1
msrp i:1
mstr ed:2
mt-2 -lrb-:1
mt-2 -rrb-:1
mt-2 .:2
mt-2 because:1
mt-2 is:1
mt-2 metal:1
mu 's:1
mu guitars:1
mu only:1
much !:4
much $:1
much &:1
much &#8216;:1
much ,:49
much -:1
much --:1
much -lrb-:2
much -rrb-:2
much .:60
much ...:2
much :1:1
much ?:2
much ``:1
much a:9
much about:9
much above:1
much abuse:2
much accuracy:1
much accurate:1
much affordable.i:1
much all:2
much ambient:1
much amp:1
much amplification:1
much an:1
much and:8
much anticipated:1
much any:5
much anymore:1
much anything:2
much appreciated:1
much are:1
much as:40
much as-advertised:1
much at:6
much background:1
much basically:1
much bass:3
much because:1
much become:1
much below:1
much besides:1
much better:131
much better.you:1
much beyond:1
much bigger:2
much brighter:6
much broader:2
much but:3
much cable:1
much care:1
much cash:1
much cheaper:9
much clamp:1
much cleaner:2
much clearance.if:1
much clearer:2
much closer:3
much complex:1
much compression:1
much considering:1
much controversy:1
much cooler:1
much could:1
much count:1
much cover:1
much crap:1
much crisper:1
much damage:1
much darker:1
much debate:1
much deep:1
much deeper:1
much delay:1
much depth:2
much dies:1
much difference:6
much different:1
much different.i:1
much different.they:1
much diligence:1
much does:1
much drier:1
much due:2
much easier:43
much easier!great:1
much easier.recomended:1
much easily:1
much easy:2
much effect:1
much effort:3
much either:2
much eliminate:1
much else:9
much else.my:1
much emphasis:1
much energy:1
much enjoy:1
much even:2
much every:2
much everything:1
much exactly:1
much except:2
much experience:2
much experimentation:1
much explanation:1
much extra:1
much farther:1
much faster:7
much fatter:1
much feedback:1
much finer:1
much for:28
much force:2
much from:6
much fuller:1
much fun:7
much gain:4
much gear:1
much gentler:1
much get:1
much gigging:1
much give:2
much glitz:1
much got:1
much greater:1
much grittier:1
much guitar:1
much happier:3
much harder:2
much he:1
much headroom:1
much heat:1
much heavier:3
much heavierblue:1
much help:2
much hercules:1
much higher:11
much highs:1
much hotter:1
much humidity:1
much i:24
much if:2
much improved:1
much in:10
much inferior?i:1
much info:1
much interested:1
much is:1
much isolation:1
much it:5
much juice:1
much just:2
much knowledge:1
much larger:5
much leave:1
much left:2
much less:20
much lesser:1
much level:1
much lighter:3
much lighter.that:1
much like:12
much longer:15
much looking:1
much looser:1
much louder:2
much love:1
much low:1
much lower:5
much luck:1
much marketing:1
much money:2
much money.enter:1
much money.i:1
much money.quality:1
much more:115
much much:7
much muscle:1
much need:1
much needed:2
much newer:1
much nice:2
much nicer:7
much no:1
much noise:4
much nothing:2
much of:28
much oil:2
much on:9
much or:2
much over:1
much padding:1
much perfect:1
much point:1
much potential:1
much practice:1
much prefer:8
much preferred:2
much prefers:1
much pressure:2
much presure:1
much proximity:1
much purges:1
much push:1
much quicker:1
much quieter:5
much rather:1
much really:1
much recommend:2
much recommended:2
much recording:2
much renders:1
much residue:2
much resonance:1
much reverb:1
much review:1
much room:5
much run:1
much safer:2
much saturation:1
much says:1
much screen:1
much secure.the:1
much seemed:1
much selection:1
much self:1
much sense:1
much shorter:1
much since:1
much smaller:9
much smarter:1
much smoother:2
much so:7
much softer:1
much sound:4
much sound-manipulation:1
much space:3
much space.for:1
much spring:1
much stay:1
much stess:1
much strain.a:1
much string:1
much stronger:2
much stuff:1
much sturdier:1
much suck:1
much sum:1
much sustain:1
much takes:1
much tension:1
much that:5
much the:16
much they:4
much thicker:2
much this:2
much though:3
much thought:1
much thoughtful:1
much time:5
much to:49
much tone:1
much too:2
much treble:1
much trebly:1
much trouble:4
much tweaking:1
much use:9
much used:1
much useless:1
much value:1
much vibration:1
much volts:1
much warmer:2
much wear:1
much weight:1
much what:1
much when:2
much while:1
much wider:3
much wider.i:1
much with:7
much work:1
much work.at:1
much worse:2
much worse.what:1
much worth:3
much you:7
much!but then:1
much!you do:1
much-heavier ,:1
much-needed function:1
much.a few:1
much.as far:1
much.besides ,:1
much.depending on:1
much.here are:1
much.i also:1
much.i decided:1
much.if used:1
muchharder to:1
muchif your:1
muck up:1
mud .:1
mud or:1
muddied up:2
muddied when:1
muddier and:1
muddiness of:1
muddle your:1
muddy '':3
muddy ,:7
muddy -rrb-:1
muddy .:4
muddy and:1
muddy at:1
muddy if:1
muddy it:1
muddy lows:1
muddy or:1
muddy sounding:1
muddy territory:1
muddy to:1
muddy tone:1
muddy up:1
muddy with:1
muddy-sounding .:1
muff !:1
muff ,:7
muff -rrb-:2
muff .:6
muff ::1
muff and:2
muff because:1
muff but:1
muff does:1
muff fuzz:1
muff i:1
muff if:1
muff is:1
muff model:1
muff or:2
muff over:1
muff pedals:1
muff pi:2
muff provides:1
muff sound:1
muff sounded:1
muff stacks:1
muff they:2
muff thus:1
muff with:1
muff.so if:1
muffled ,:1
muffled at:1
muffled audio:3
muffled audiothe:1
muffled beyond:1
muffled grit:1
muffled low:1
muffled quality:1
muffled side:1
muffled with:1
muffled/muddy ,:1
muffles too:1
muffling ,:1
muffling the:2
muffs ,:1
muffs before:1
muffs every:1
muffs?i have:1
mullard 12ax7:1
mullard blackburn:1
mullard to:1
multi channel:1
multi color:1
multi effects:9
multi instrumentalist:1
multi pedals:1
multi plug:5
multi tool:1
multi track:1
multi-delay for:1
multi-effect ,:1
multi-effect pedal:1
multi-effect pedals:1
multi-effect unit:1
multi-effects pedal:3
multi-effects processor:1
multi-effects to:1
multi-frequency overtones:1
multi-mount microphone:1
multi-octave range:1
multi-pattern mic:1
multi-pattern microphone:1
multi-pattern studio:2
multi-plug 5:1
multi-plug power:1
multi-plug to:1
multi-plug was:1
multi-plug works:1
multi-thousand dollar:2
multi-tool ,:1
multi-tool .:2
multi-track studio:2
multi-tracking and:1
multi-use knob:1
multi-voltage capability:1
multiac steel:1
multicolor cords:1
multicolored meter:1
multifunction button:1
multimedia has:1
multimedia headsetor:1
multimeter -rrb-:1
multiple ,:1
multiple behringer:1
multiple benefits:1
multiple cables:1
multiple channels:1
multiple connections:1
multiple danelectro:1
multiple effects:2
multiple eq:1
multiple guitar:1
multiple guitars:3
multiple headphones:1
multiple inputs:3
multiple instruments:4
multiple layers:1
multiple listeners:1
multiple metal:1
multiple microphone:1
multiple mistakes:1
multiple of:1
multiple patterns:2
multiple pedals:4
multiple picks:1
multiple preset:1
multiple problems:1
multiple rca:1
multiple reasons:1
multiple sized:1
multiple smudges:1
multiple snarks:1
multiple softwares:1
multiple sound:1
multiple stomp:1
multiple straps:1
multiple stringed:1
multiple studio:1
multiple styles:1
multiple thickness:1
multiple things:1
multiple tours:1
multiple tuning:1
multiple types:1
multiple units:1
multiple user:1
multiple-sized tuners:1
multiplug to:1
multipurpose guitar:1
multitrack recorder:1
multitrack recording:1
multitrack recordings:1
multitrack view:2
multitracking .:1
multitude of:8
mumbling or:1
mus-arm 2:1
muscian or:1
muscle .:1
muscle anyway:1
muscle memory:1
muscles are:1
muscular .:1
muse your:1
mush at:1
mushy .:1
mushy amp:1
mushy on:1
mushy side:1
mushy sounding:2
musian a:1
music &:1
music ,:23
music -:1
music -lrb-:2
music -rrb-:4
music .:35
music ...:2
music ::1
music ;:1
music ?:1
music about:1
music and:9
music as:2
music associates:1
music at:4
music binders:1
music biz:1
music books:1
music brightly:1
music but:1
music calls:1
music camp:1
music can:1
music career:2
music chosen:1
music class:1
music classes:2
music come:1
music creation:1
music creator:5
music demos:1
music digital:1
music during:1
music enthusiast:1
music feels:1
music for:3
music formally:1
music from:3
music gigs:1
music has:1
music history:1
music i:8
music in:3
music inc:2
music ingredients:1
music is:3
music light:9
music like:2
music making:1
music man:1
music manufacturers:1
music mixing:1
music nook:1
music of:1
music on:6
music one:1
music or:6
music partner:2
music pick:1
music practice:1
music production:1
music program:1
music programs:1
music purchases:1
music rather:1
music recording:4
music recordings:1
music related:1
music retailers:1
music room:4
music room/amateur:1
music room/office:1
music seriously:1
music sessions:1
music sheet:3
music sheets:3
music shop:8
music shops:4
music shows.overall:1
music since:3
music snob:1
music snobs:1
music so:1
music sound:1
music sounds.too:1
music source:1
music stand:44
music stand.very:1
music stands:4
music station:1
music stays:1
music store:27
music store.but:1
music stores:7
music straight:1
music studio:1
music teacher:7
music that:3
music the:2
music theory:2
music these:1
music to:9
music together:1
music too.so:2
music tote:1
music using:1
music vendor:1
music venues:1
music via:1
music was:2
music when:1
music while:2
music with:5
music within:1
music without:1
music you:1
music.this has:1
music/mic stand:1
music/mic stands:1
music/note .:1
music/speeches .:1
music123 or:1
musical ,:1
musical .:1
musical and:1
musical equipment:1
musical friends:1
musical future:1
musical gadgets:1
musical here:1
musical in:1
musical instrument:4
musical instruments:3
musical items:1
musical map:1
musical metal:1
musical pedal:1
musical products:1
musical professional:1
musical run:1
musical signal:1
musical sound.fun:1
musical sounding:1
musical stand:1
musical stringed:1
musical strings:1
musical styles:1
musical taste:1
musical teeth:1
musical the:1
musical theory:1
musical toy:1
musical underdog:1
musical way:1
musically and:1
musically inclined:1
musican 's:1
musican .:1
musicbox becomes:1
musiccons ::1
musicenvelope filter:1
musician &:1
musician 's:25
musician ,:17
musician -lrb-:1
musician -rrb-:1
musician .:10
musician :-rrb-:1
musician and:9
musician because:1
musician began:1
musician end:1
musician for:5
musician friend:1
musician friends:5
musician had:1
musician hands:1
musician i:5
musician in:4
musician is:1
musician lent:1
musician might:1
musician my:1
musician or:2
musician playing:1
musician recommended:1
musician should:1
musician so:1
musician that:3
musician to:2
musician who:3
musician will:1
musician without:1
musician would:1
musician you:1
musician/singer the:1
musicians ':1
musicians ,:3
musicians -lrb-:2
musicians .:12
musicians and:1
musicians around:1
musicians at:1
musicians can:1
musicians friend:1
musicians gear:1
musicians have:1
musicians in:4
musicians love:1
musicians may:1
musicians on:1
musicians online:1
musicians or:1
musicians their:1
musicians used:1
musicians using:1
musicians were:2
musicians when:1
musicians who:4
musicians willing:1
musicians.i ordered:1
musicians.i would:1
musicians.other features:1
musicians?as i:1
musiciansfriend for:1
musiciansfriend.com -rrb-:1
musicman .:1
musicman active:1
musicman sting-ray:1
musics and:1
musics where:1
muso 's:1
muss ,:1
muss -lrb-:1
muss no:1
must !:1
must 've:1
must ,:1
must -:1
must .:5
must add:1
must admit:4
must agree:1
must be:26
must buy:3
must completely:1
must confess:1
must cost:1
must either:1
must exist:1
must explain:1
must file:1
must first:1
must for:6
must fully:1
must go:1
must have:41
must have.holds:1
must if:3
must keep:1
must know:1
must less:1
must need:1
must of:1
must pass:1
must pay:1
must presume:1
must purchase:1
must re:1
must realize:1
must replace:1
must say:7
must take:1
must to:1
must understand:2
must use:5
must utilize:1
must weigh:1
must when:1
must-have &#34;:1
must-have '':1
must-have .:2
must-have as:1
must-have dac:1
must-have for:3
must-have item:2
must-have tool:1
must-have will:1
mustain muted:1
mustang ,:3
mustang -lrb-:1
mustang .:1
mustang 1:4
mustang 2:2
mustang amp:1
mustang as:1
mustang but:1
mustang fender:1
mustang floorboard:1
mustang for:1
mustang gets:1
mustang i:5
mustang if:1
mustang ii:11
mustang iii:12
mustang is:2
mustang iv:4
mustang lead:1
mustang series:1
mustang will:1
mustang you:1
mustangs 3:1
muster are:1
mustsng ii:1
mute ,:2
mute -lrb-:1
mute .:3
mute actually:1
mute all:1
mute allows:1
mute an:1
mute and:1
mute button:3
mute buttons:1
mute can:1
mute completely:1
mute demonstrated:1
mute down:1
mute every:1
mute fits:1
mute for:1
mute function:2
mute is:1
mute mode:1
mute on:2
mute or:1
mute seems:1
mute some:1
mute switch:3
mute switches:1
mute the:2
mute together:1
mute which:1
mute with:1
mute works:1
mute.i had:1
mute.now i:1
mute/tuner mode:1
mute/unmute his:1
muted acoustic:1
muted and:3
muted at:1
muted color:1
muted compared:1
muted crunch:1
muted guitar:1
muted my:1
muted playing:1
muted sound:1
muted than:1
muted tone:1
muted.the build:1
muted.there is:1
mutes do:1
mutes everything:1
mutes for:1
mutes the:2
mutes when:1
mutes your:1
muting ,:1
muting .:1
muting all:1
muting or:1
mutter from:1
mutter modern:1
muyy bueno:1
mx analog:1
mxl ,:1
mxl 007:1
mxl 2010:3
mxl 24:1
mxl 990:2
mxl even:1
mxl fit:1
mxl microphones:1
mxl mikes:1
mxl products:1
mxl really:1
mxl studio:3
mxl v67g:3
mxl770 on:1
mxl770 rated:1
mxl990 sounded:1
mxls .:1
mxr !:1
mxr '78:1
mxr 's:1
mxr ,:4
mxr -rrb-:1
mxr .:5
mxr ...:1
mxr 108:1
mxr 116:1
mxr 6:1
mxr 76:2
mxr ``:1
mxr analog:2
mxr and:2
mxr are:1
mxr badass:1
mxr because:1
mxr bonamassa:1
mxr built:1
mxr carbon:11
mxr classic:2
mxr compresser:1
mxr custom:9
mxr dyna:5
mxr effects:1
mxr flanger:1
mxr fullbore:1
mxr has:2
mxr in:1
mxr is:1
mxr line:2
mxr m104:1
mxr micro:8
mxr mirco:1
mxr models:2
mxr or:4
mxr pedal:1
mxr pedals:10
mxr phase:7
mxr products:6
mxr so:5
mxr stompbox:1
mxr themselves:1
mxr versions:1
mxr vintage:1
mxr won:1
mxr-like button:1
my #:1
my $:3
my &#34;:5
my '':1
my '10:1
my '77:1
my -lrb-:3
my 000:1
my 008:1
my 1:1
my 1-12:1
my 1.0:1
my 10:2
my 100:1
my 100w:1
my 11:4
my 12:10
my 12-string:4
my 12-strings:1
my 14:1
my 16:1
my 17:1
my 18-watt:1
my 1948:1
my 1968:1
my 1970:1
my 1970s:2
my 1972:1
my 1973:1
my 1974:1
my 1978:1
my 1980:1
my 1985:1
my 1991:1
my 1st:4
my 2:2
my 2-row:1
my 20-20:1
my 2000-ish:1
my 2008:1
my 2013:1
my 2014:1
my 21:1
my 24:2
my 25:1
my 2nd:3
my 3:3
my 3-tone:1
my 3/4:2
my 30:1
my 300:1
my 310:2
my 32:1
my 335:1
my 3gs:1
my 3rd:3
my 4:2
my 4.8:1
my 40:3
my 414ce:1
my 45:1
my 45lb:1
my 49:1
my 4th:1
my 4x10:1
my 5:3
my 5-string:2
my 50:2
my 50s:2
my 58th:1
my 5string:1
my 5th:1
my 6:3
my 6,7:1
my 66:2
my 6th:1
my 7:5
my 7/16:1
my 710:2
my 72:1
my 8:1
my 8ohm:1
my 8th:1
my 9:4
my 900:1
my 91:1
my 9lb:1
my `:4
my ``:8
my a-style:1
my ability:2
my ableton:2
my abusive:1
my ac-30:1
my account:1
my acoustasonic:1
my acoustic:106
my acoustic-electric:1
my acoustic/electric:2
my acoustics:14
my acoustics-however:1
my acquaintance:1
my active:3
my actual:1
my admittedly:1
my adult:1
my advice:4
my advise:1
my aggravations:1
my aggression:1
my agile:1
my airline:1
my akg:3
my alesis:2
my all:1
my all-parts:1
my allergies:1
my already:1
my altoids:1
my aluminum:1
my alvarez:3
my always:1
my always-on:1
my amazement:1
my amazon:1
my ambitious:1
my american:8
my amp:65
my amp.also:1
my ampeg:1
my ampli:1
my amplifier:4
my amplitude:1
my amps:4
my amps.it:1
my ancient:3
my another:1
my anybody:1
my apartment:4
my api:1
my apogee:2
my apologies:1
my applause:2
my applicaiton:1
my application:3
my apt.i:1
my arch:1
my archtop:1
my arion:1
my arm:4
my arsenal:1
my art:1
my ass:1
my assortment:1
my at:3
my atr2100:1
my attached:1
my attempts:1
my audio:10
my auditions:1
my aunt:1
my average:1
my awesome:3
my axe:5
my axes:2
my b/w/b:1
my baby:3
my back:6
my backing:1
my backpack:2
my backplate:1
my backup:3
my bad:5
my bag:3
my baggs:1
my band:19
my bands:2
my banjo:11
my banjos:2
my banks:1
my bare:3
my baritone:4
my base:1
my bass:54
my bass-playing:1
my bass.you:1
my basses:6
my bassist:1
my batteries:1
my battery:1
my bbe:2
my bc:2
my be:1
my beatles:1
my beginner:1
my behalf:1
my behringer:10
my behrinnger:1
my belief:1
my beloved:2
my belt:2
my bench:2
my bent:1
my best:10
my better:2
my bh110:1
my big:5
my bigger:2
my biggest:2
my bike:1
my black:2
my blackstar:1
my bloody:1
my blue:9
my blueridge:2
my blues:6
my board:28
my body:3
my book:9
my book.i:1
my books:1
my boss:17
my boyfriend:1
my br-243a:1
my brand:1
my breedlove:1
my bridge:4
my bridges:1
my briefcase:1
my brother:7
my buddies:3
my buddy:2
my budget:5
my bugera:2
my burswood:1
my business:1
my cable:4
my cables:9
my cad:1
my callouses:3
my calluses:1
my canon:1
my capo:2
my capos:2
my car:6
my carpet:1
my cart:1
my carvin:2
my case:18
my cases:3
my casio:2
my casual:1
my cat:1
my cc-ot:1
my cedar:1
my cf:1
my chain:8
my chair:1
my challenge:1
my champ:2
my champion:1
my channel:1
my cheap:8
my cheap/budget:1
my cheaper:2
my cheapest:1
my cheapness:1
my cheapo:1
my chest:1
my children:1
my chinese:1
my chiropractor:1
my choice:8
my chord-hand:1
my chording:1
my christmas:1
my church:5
my classic:1
my classical:10
my clean:3
my cleans:1
my closed:1
my closet:2
my closing:1
my clumsiness:1
my collection:7
my combination:1
my combo:2
my comfort:1
my comp:1
my comparisons:1
my complaints:2
my compressor:3
my computer:36
my computer-based:1
my computer.but:1
my concern:2
my concerns:2
my concert:4
my concerts:1
my condenser:2
my confidence:1
my configuration:1
my consonants:1
my copy:3
my cordless:1
my cordoba:1
my cords:2
my corona:1
my cousin:1
my cousins:1
my coveted:1
my cpu:1
my cramped:2
my crappy:1
my crate:2
my creation:1
my credit:1
my cry:1
my cumbersome:1
my cup:3
my curiosity:2
my current:9
my custom:1
my customer-supplied:1
my customers:1
my cv50:1
my cymbalsand:1
my d'addario:2
my d'addarios:1
my d18:1
my dad:4
my damn:1
my danelectro:2
my dano:1
my daughter:29
my daughters:4
my davas:1
my daw:8
my day:1
my days:1
my dd3:1
my dean:4
my dearly:1
my decades:1
my decision:2
my default:2
my delay:1
my delight:2
my delightful:1
my deluxe:1
my den:1
my descendants:1
my desired:1
my desires:1
my desk:17
my desk.it:1
my desk.outside:1
my desktop:11
my di:3
my diagonal:1
my dial:1
my digital:5
my digitech:5
my dirt:1
my dirtier:1
my dirty:1
my disappointment:1
my disc:1
my distortion:2
my dj:1
my dna:1
my dog:1
my door:5
my doorstep:2
my dot:4
my double:1
my doubts:2
my dozen:1
my drawer:3
my dreadnaught:1
my dreadnaughts.if:1
my dreadnought:3
my dreams:1
my dremel:2
my dremmel:1
my dried:1
my drill:3
my drive:1
my drop:1
my drum:2
my drummer:2
my drums:2
my drumstick:1
my druthers:1
my ds-1:1
my dslr:1
my dual:1
my duet:2
my dunlop:2
my duo:1
my e:1
my e-mail:1
my e-string:1
my ear:13
my earlier:1
my earliest:1
my early:1
my ears:31
my ears.i:1
my ears.while:1
my easy:1
my effect:2
my effects:16
my efforts:1
my ego:1
my ehx:1
my eight:1
my eko:2
my el84:1
my electric:51
my electrics:6
my electrifieds:1
my electro:1
my electronic:1
my elementary:1
my email:2
my embarrassment:1
my emg:1
my entire:9
my epi:6
my epiphone:16
my equipment:3
my ernie:2
my error:1
my estimate:1
my estimation:1
my ever:1
my everyday:2
my exact:1
my excellent:1
my existing:3
my expectation:2
my expectations:18
my expectations.still:1
my expensive:7
my expensiveroland:1
my experience:28
my experiences:2
my experiment:1
my experimentation:1
my explanation:1
my explanations:1
my eye:2
my eyes:4
my eyes!i:1
my f-style:1
my face:4
my fairly:1
my faith:1
my family:3
my family.looking:1
my fat:2
my father:1
my fault:8
my fav:2
my faves:2
my favorite:104
my favorite.you:1
my favorites:13
my fears:1
my feedback:1
my feelings:2
my feet:4
my fellow:1
my female:1
my fender:64
my fender/squier:1
my fenders:4
my fiancee:1
my fiddle:2
my fiddle.for:1
my field:1
my fifth:2
my filming:1
my finger:8
my fingerboards:1
my fingerease:1
my fingernails:1
my fingerprints:1
my fingers:52
my fingertips:8
my fingures:1
my first:86
my fishman:3
my five:1
my flamenco:1
my floating:1
my floor:1
my focus:1
my focusrite:2
my foolish:1
my foot:9
my foot.yeah:1
my forefinger:1
my fourth:2
my framed:1
my free:1
my fret:1
my fretboard:7
my fretless:1
my frets:3
my fretting:2
my friday:1
my friend:27
my friendks:1
my friends:18
my frontman:3
my fuel:1
my full:6
my full-size:1
my full-sized:1
my fulltone:1
my fx:2
my g:2
my g&l:1
my g-string:1
my g7:1
my g7th:1
my gain:2
my garage:5
my gcb-95:1
my gear:15
my gear.i:1
my general:2
my generation:1
my genuine:1
my genz:1
my german:1
my gibson:16
my gibsons:3
my gig:18
my gig.i:1
my gigging:2
my girlfriend:4
my gits:1
my give:1
my gizmos:1
my glass:1
my glasses:2
my glasss:1
my go:10
my go-to:9
my go-tos:1
my goal:2
my godin:6
my gogo:2
my gold-top:1
my good:3
my grand:3
my grand-nephews:1
my granddaughter:2
my grandson:3
my great:2
my green:1
my grip:2
my group:1
my grown:1
my gs330s:1
my gt-100:1
my guess:4
my guesses:1
my guild:2
my guitar:381
my guitar-banjo:1
my guitar-playing:1
my guitar.i:1
my guitar.the:1
my guitar.update:1
my guitar.while:1
my guitar/banjo:1
my guitar/harp:1
my guitar/uke/cava:1
my guitarlele:1
my guitarr&oacute;n:4
my guitars:169
my guitars.they:1
my guitars.this:1
my guy:1
my h2:2
my habits:1
my hafler:1
my half:1
my hall:1
my hammered:1
my hand:22
my hand.the:1
my hands:16
my hands.i:1
my handy:1
my hard:2
my hard-shell:1
my hardshell:1
my hardware:1
my harmonica:1
my harmonicas:1
my harp:1
my hartke:2
my has:1
my haste:1
my hat:1
my hd:1
my hd595:1
my hde:1
my head:9
my head/cab:1
my head/ears:1
my headline:2
my headphone:1
my headphones:10
my headsets:1
my headstock:1
my heart:1
my heavier:1
my heaviest:1
my heavy:6
my hercules:3
my herd:1
my hi-hat:1
my high:6
my higher:1
my highest:1
my highexpectations:1
my hip:1
my hirades:1
my hobby:1
my hofner:1
my hola:1
my holding:1
my home:32
my home-studio:1
my home-wanna:1
my homemade:1
my honey:1
my horror:1
my house:8
my hubby:1
my humble:3
my humidifiers:2
my hunch:1
my hunt:1
my husband:12
my husbands:1
my hutch:1
my ibanez:10
my ignorance:2
my ignorant:1
my ill:1
my imac:10
my imagination:1
my impression:1
my impressions:1
my index:2
my inexperienced:1
my initial:6
my inputs:1
my instant:1
my instructor:2
my instrument:17
my instrument.i:1
my instruments:19
my intelli:2
my intellitouch:2
my intention:1
my interface:3
my into:1
my intonation:1
my investment:2
my ipad:21
my iphone:6
my ipod:6
my irig:1
my issue:3
my issue.i:1
my it:1
my item:1
my itemized:1
my j-45:1
my j.:1
my jack:1
my jackson:4
my jam:2
my jasmine:4
my jazz:5
my jeans:1
my jet:1
my jewelry:1
my john:1
my joy:1
my joyo:2
my just:1
my kala:1
my karaoke:1
my keyboard:6
my keyboard/practice:1
my keyboards:2
my keys:1
my kid:1
my kids:14
my kids.the:1
my kind:2
my kit:1
my knee:1
my knees:1
my knobs:1
my kona:2
my korg:6
my krk:1
my krks:1
my kustom:1
my kyser:2
my l4:1
my laguna:1
my lanakai:1
my lap:1
my laptop:17
my laptop.after:1
my laptop.they:1
my laptops:1
my large:1
my larrivee:2
my last:9
my latest:2
my laundry:1
my lavabox:1
my lead:1
my leads:3
my least:1
my lee:1
my left:4
my legs:3
my les:22
my less:2
my lesson:3
my lessons:1
my levy:1
my lexicon:1
my lexuses:1
my licks:1
my life:16
my lifetime:3
my light:1
my lighter:1
my lightest:1
my lights:1
my liking:5
my lil:1
my limited:2
my line:13
my line6:2
my lip:1
my list:2
my little:19
my live:5
my living:6
my loaded:1
my loar:2
my local:17
my locker:1
my logically:1
my logo:1
my long:1
my longer:1
my looper:1
my lounging-at-home:1
my lousy:1
my love:1
my lovely:2
my low:2
my lower:4
my lp:8
my ltd:1
my luck:2
my luna:3
my luthier:3
my m-audio:2
my mac:6
my macbook:5
my mackie:5
my mahalo:1
my mail:1
my main:17
my mainland:1
my mainstay:1
my mainstays:1
my makala:1
my mancave:1
my mando:1
my mandobanjoacoustic:1
my mandolin:10
my mandolins:1
my mandos:1
my many:1
my maple:1
my marschall:1
my marshall:5
my martin:13
my master:1
my mbox:1
my mbrace:1
my me:1
my memory:2
my mesa:3
my messenger:1
my metal:1
my metronome:2
my mexi-strat:2
my mexican:1
my mexy:1
my mic:30
my mic.so:1
my micro:1
my micro-sensitive:1
my microphone:4
my microphonecons1:1
my microphones:5
my mics:1
my mics.and2:1
my mid-1990s:1
my midi:1
my mighty:1
my mik:1
my mike:1
my mikes:1
my mim:4
my mind:9
my mind.but:1
my mini:1
my mini-amp:1
my minidisc:1
my mitchell:1
my mitts:1
